('ad', 'ad')
('al', 'al')
('an', 'an')
('as', 'as')
('au', 'au')
('ab', 'ba')
('bi', 'bi')
('cm', 'cm')
('do', 'do')
('eg', 'eg')
('el', 'el')
('er', 'er')
('ex', 'ex')
('ft', 'ft')
('gu', 'gu')
('eh', 'he')
('ho', 'ho')
('fi', 'if')
('is', 'is')
('gk', 'kg')
('ko', 'ko')
('al', 'la')
('am', 'ma')
('im', 'mi')
('mr', 'mr')
('mu', 'mu')
('an', 'na')
('nu', 'nu')
('do', 'od')
('ho', 'oh')
('no', 'on')
('or', 'or')
('ow', 'ow')
('ap', 'pa')
('ep', 'pe')
('op', 'po')
('ar', 'ra')
('as', 'sa')
('os', 'so')
('tv', 'tv')
('nu', 'un')
('su', 'us')
('av', 'va')
('ew', 'we')
('ix', 'xi')
('ey', 'ye')
('ry', 'yr')
('abe', 'abe')
('act', 'act')
('ado', 'ado')
('aeg', 'age')
('aah', 'aha')
('ail', 'ail')
('air', 'air')
('ael', 'ale')
('all', 'all')
('alp', 'alp')
('aam', 'ama')
('amp', 'amp')
('amu', 'amu')
('aan', 'ana')
('ain', 'ani')
('ant', 'ant')
('aep', 'ape')
('apt', 'apt')
('aer', 'are')
('amr', 'arm')
('ahs', 'ash')
('aps', 'asp')
('aet', 'ate')
('aku', 'auk')
('aev', 'ave')
('alw', 'awl')
('aex', 'axe')
('aab', 'baa')
('abg', 'bag')
('abn', 'ban')
('abs', 'bas')
('aby', 'bay')
('bee', 'bee')
('ben', 'ben')
('bey', 'bey')
('bdi', 'bid')
('bin', 'bin')
('bit', 'bit')
('bbo', 'bob')
('bno', 'bon')
('bop', 'bop')
('box', 'box')
('abr', 'bra')
('bdu', 'bud')
('bmu', 'bum')
('bru', 'bur')
('btu', 'but')
('bey', 'bye')
('abc', 'cab')
('acm', 'cam')
('acp', 'cap')
('aeijm', 'jamie')
('aeijm', 'jaime')
('aeijm', 'jaime')
('acy', 'cay')
('chi', 'chi')
('cit', 'cit')
('cdo', 'cod')
('clo', 'col')
('cno', 'con')
('cop', 'cop')
('cow', 'cow')
('cpu', 'cpu')
('cry', 'cry')
('cdu', 'cud')
('clu', 'cul')
('cpu', 'cup')
('ctu', 'cut')
('add', 'dad')
('adn', 'dan')
('bde', 'deb')
('def', 'def')
('del', 'del')
('des', 'des')
('ddi', 'did')
('dgi', 'dig')
('din', 'din')
('dir', 'dir')
('ado', 'doa')
('deo', 'doe')
('dno', 'don')
('dot', 'dot')
('doz', 'doz')
('bdu', 'dub')
('deu', 'due')
('dnu', 'dun')
('dpu', 'dup')
('aer', 'ear')
('bbe', 'ebb')
('eeg', 'eeg')
('eft', 'eft')
('ego', 'ego')
('efl', 'elf')
('ell', 'ell')
('emu', 'emu')
('den', 'end')
('eno', 'eon')
('aer', 'era')
('egr', 'erg')
('eps', 'esp')
('aet', 'eta')
('eev', 'eve')
('etx', 'ext')
('adf', 'fad')
('afn', 'fan')
